session_id,startTime,endTime,ProductList,gender
u16159,15/12/14 18:11,15/12/14 18:12,A00002/B00003/C00006/D28435/;A00002/B00003/C00006/D02554/;A00002/B00003/C00006/D28436/;A00002/B00003/C00006/D28437/,female
u10253,16/12/14 14:35,16/12/14 14:41,A00001/B00009/C00031/D29404/;A00001/B00009/C00031/D02617/;A00001/B00009/C00031/D29407/;A00001/B00009/C00031/D29410/;A00001/B00009/C00031/D29411/;A00001/B00009/C00031/D25444/;A00001/B00009/C00031/D29418/,male
u19037,01/12/14 15:58,01/12/14 15:58,A00002/B00001/C00020/D16944/,female
u14556,23/11/14 2:57,23/11/14 3:00,A00002/B00004/C00018/D10284/;A00002/B00004/C00018/D10285/;A00002/B00004/C00018/D10286/,female
u24295,17/12/14 16:44,17/12/14 16:46,A00001/B00001/C00012/D30805/;A00001/B00001/C00012/D30806/,male
u20964,12/12/14 15:31,12/12/14 15:31,A00002/B00002/C00081/D25039/,female
u20981,05/12/14 19:33,05/12/14 19:34,A00002/B00011/C00180/D18487/;A00002/B00011/C00114/D18459/,female
u15947,09/12/14 16:02,09/12/14 16:06,A00002/B00001/C00059/D15254/;A00002/B00001/C00059/D00900/;A00002/B00002/C00002/D02063/,male
u18193,25/11/14 11:55,25/11/14 11:55,A00002/B00001/C00010/D06129/,male
u21820,06/12/14 16:16,06/12/14 16:17,A00002/B00001/C00010/D12841/;A00002/B00002/C00112/D20047/,female
u13480,15/11/14 12:32,15/11/14 12:32,A00002/B00007/C00024/D02625/,female
u14242,08/12/14 22:42,08/12/14 22:42,A00002/B00002/C00002/D22971/,female
u11583,22/12/14 13:12,22/12/14 13:22,A00002/B00001/C00150/D35471/;A00002/B00001/C00049/D33572/;A00002/B00001/C00150/D35478/;A00002/B00001/C00177/D02157/;A00002/B00001/C00177/D03547/;A00002/B00001/C00150/D35483/,female
u13018,17/11/14 20:53,17/11/14 20:53,A00001/B00031/C00044/D01652/;A00001/B00031/C00044/D01867/,male
u22050,07/12/14 23:28,07/12/14 23:28,A00002/B00002/C00002/D21686/;A00002/B00002/C00007/D02584/,female
u16340,19/11/14 15:23,19/11/14 15:30,A00003/B00012/C00051/D07771/;A00003/B00012/C00051/D07773/;A00003/B00012/C00051/D07774/;A00003/B00012/C00051/D07757/;A00003/B00012/C00051/D07759/;A00003/B00012/C00051/D07760/;A00003/B00012/C00051/D07761/;A00003/B00012/C00051/D07762/;A00003/B00012/C00051/D07763/;A00003/B00012/C00051/D07767/;A00003/B00012/C00051/D07768/;A00003/B00012/C00051/D05509/;A00003/B00012/C00051/D03961/;A00003/B00012/C00051/D07769/,female
u17502,29/11/14 15:23,29/11/14 15:23,A00002/B00007/C00024/D03342/,female
u10649,25/11/14 14:31,25/11/14 14:32,A00003/B00022/C00048/D11574/;A00003/B00022/C00048/D11579/,female
u24301,17/12/14 16:47,17/12/14 16:47,A00002/B00001/C00075/D30808/,female
u17680,25/11/14 20:39,25/11/14 20:40,A00002/B00004/C00129/D10706/;A00002/B00004/C00129/D11998/,female
